term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),3.1501169505122184,0.08951087038342866,12.818997004273463,1.2835006867934334e-37,2.644658983828144,3.7563384549634944
age_group20-29,0.6999155611005446,0.05707665693332001,-6.2511646158744645,4.0740318287857696e-10,0.6254189876318753,0.7822670326403455
age_group30-39,0.5285715813988099,0.05609714564044865,-11.365587909923356,6.204532271969334e-30,0.4731993221302488,0.5896042921729109
age_group40-49,0.4374550473026402,0.05684377361048647,-14.54480015966997,6.301459851930212e-48,0.39106166801001585,0.48868878754850975
age_group50-59,0.38375349648566104,0.05842215174989952,-16.39369383139161,2.121518015308993e-60,0.34200870292069985,0.43004167177938135
age_group60-80,0.36892227740970396,0.0593060471857797,-16.813956329438145,1.9285917029897225e-63,0.3282281655570134,0.41414609955943515
age_group>80,0.41827854923740854,0.09974025103533112,-8.738775706004446,2.3565019942883824e-18,0.34403175654162954,0.5086836666551636
education1,1.0999505853561717,0.06229445985752375,1.5292733352161403,0.12619669705900458,0.97362223674501,1.2429349278493758
education2,1.0343207888489614,0.05570015255293821,0.6058326071151824,0.5446259148167889,0.9273488075733654,1.1536459779791506
education3,1.0277338190729637,0.047264138478728804,0.5787940608295558,0.5627281390768831,0.9367337038344998,1.1274174313588992
education4,0.9776535167606032,0.05825422087330405,-0.38795384644164466,0.6980501889677392,0.8721666911910789,1.0959156867830269
education5,0.9644872323220671,0.06347644118347524,-0.5696394388692652,0.568922273310676,0.8517021254452791,1.0923387279979355
education6,1.0714540451813204,0.04992079995794091,1.382522851497413,0.16681121894120868,0.9715432583736222,1.1815517979516845
education7,1.0569724592182048,0.381629115569575,0.14518978944789054,0.8845610273529948,0.5091222520523782,2.310195770964758
education8,0.8846720192119667,0.16558228311199258,-0.7400447688046442,0.45927283002840336,0.6408719203708628,1.2277952331849649
education9,0.11832192418763063,1.1274676515078201,-1.8930442884853624,0.058351979991214685,0.005991046818646599,0.819955477867604
stateBaja California,0.7389174520337848,0.08645838196502831,-3.4995920540147574,4.6597068140822565e-4,0.6237636753901455,0.8754561414305106
stateBaja California Sur,0.9631944147408604,0.08782525749932056,-0.42698426582036225,0.6693907879250156,0.8111022788551809,1.144514523540044
stateCampeche,0.6869884697331705,0.08711966661561082,-4.30944911739078,1.6366170681383678e-5,0.5791356791246999,0.8149296321851384
stateChiapas,0.7153431676907187,0.08456828681300707,-3.9612118116821327,7.457034593938497e-5,0.606037099640604,0.8442894923539461
stateChihuahua,0.7237621676777042,0.08111752598769416,-3.98548198197486,6.7343287641884e-5,0.617323759937956,0.8484547752989965
stateCiudad de Mexico,0.6783311189467884,0.07427466208390496,-5.225466173004546,1.7371687872928973e-7,0.5862899502270724,0.7844651113167872
stateCoahuila de Zaragoza,0.9333100887401389,0.0802420421225499,-0.8601198934214097,0.38972295628154574,0.7975127187345004,1.0923550102416248
stateColima,0.7140485579020468,0.08122702646998922,-4.146456239085355,3.376606788371058e-5,0.6088955951850794,0.8372298647015523
stateDurango,0.8247291417661184,0.08073048018631825,-2.386957926176128,0.01698843537882245,0.7040127184653682,0.9661343861796999
stateEstado de Mexico,0.7213617354522227,0.07417065551974433,-4.403554905894358,1.0649131615478194e-5,0.6236212192830768,0.8340755416020647
stateGuanajuato,0.7034780940422716,0.08225460936826078,-4.275973640218716,1.9030374133733643e-5,0.5986814438125567,0.826509647732315
stateGuerrero,0.9146915855224855,0.08216564217096144,-1.0852265396162564,0.2778213324585687,0.7786668486358342,1.0746160262165114
stateHidalgo,0.809046313211169,0.07962536791471213,-2.661201092463077,0.0077862439534067095,0.692089402337174,0.9456631860801047
stateJalisco,0.8322753570006088,0.07757633572180939,-2.366597149424094,0.017952461931158518,0.714818720709966,0.968904629748528
stateMichoacan de Ocampo,0.765459567565594,0.07839005700583589,-3.4096018528610577,6.505778002013038e-4,0.6563605380593479,0.8925088315784468
stateMorelos,0.8786483131335384,0.08090748073283748,-1.5989938014413,0.10982197990614803,0.7498064910503672,1.0296940433129398
stateNayarit,0.7615022796483863,0.08154042426232577,-3.3414360482842755,8.33462144482365e-4,0.648983933316353,0.8934492861696772
