term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),2.8405934153808974,0.09053441457456782,11.53166985538064,9.135436621971318e-31,2.379963253854858,3.3939679403794485
age_group20-29,0.6823370534321934,0.05738406643566124,-6.660934885238382,2.7209118087593645e-11,0.6093493399237186,0.763086005122633
age_group30-39,0.5068486612200914,0.05643351225289632,-12.041476622702103,2.150710771945731e-33,0.4534570304154482,0.5657507247089656
age_group40-49,0.414670921262793,0.05722312920706131,-15.383115993857357,2.124713794898472e-53,0.3704214687934517,0.4635844701252101
age_group50-59,0.35944529116963864,0.058877829137119406,-17.378244217420878,1.2058931526703546e-67,0.3200612961921713,0.4031642568509939
age_group60-80,0.343306567925057,0.059815061361299646,-17.873950517368712,1.8818330824994245e-71,0.3051357521718357,0.3857776540987507
age_group>80,0.3879118602953886,0.10121325741270762,-9.35625582615428,8.261239749613554e-21,0.3181182930359186,0.4730911509923031
education1,1.1264565575802994,0.0633061796596823,1.880968283369045,0.05997623341896308,0.9951106747187181,1.27541490006674
education2,1.0659521481754455,0.056662619976798737,1.1271705336079392,0.2596703862914885,0.9539165620169925,1.1911825957201365
education3,1.0598721243987084,0.04816851193104952,1.207184136604243,0.22736123826600885,0.9643330978184317,1.164757116950794
education4,1.0308449047127854,0.05919150215457827,0.513228431694652,0.6077915399074201,0.9179406490855122,1.1576782229379845
education5,1.0162247381373752,0.06441412308238459,0.24986016853685072,0.8026954872609884,0.895747272757371,1.1530583993532446
education6,1.0922006236197153,0.050857652203606635,1.7341457556558175,0.08289222475780199,0.9885516291919006,1.2066600735593653
education7,1.106434726603498,0.3849697127146822,0.26272946821388243,0.7927591021073184,0.5290698937716111,2.4319613206378135
education8,0.949867828327359,0.16676115558877574,-0.3084197393669598,0.757762963731985,0.6864497177627616,1.3211901217146462
education9,0.09123622750362541,1.1734106106607012,-2.0404649554258056,0.04130403804742691,0.004384340657104096,0.6926877795851089
stateBaja California,0.7452959017310217,0.08724713746018754,-3.369439553952698,7.532120943813122e-4,0.6281717286624978,0.8843720097571772
stateBaja California Sur,0.9675073202872448,0.0886330127436371,-0.37268605563481977,0.7093821159713615,0.8134367744718214,1.151447202629071
stateCampeche,0.6449330593918455,0.08844756113198478,-4.958969426035254,7.086811813830224e-7,0.5422565503867723,0.7670162909488405
stateChiapas,0.7107003243666224,0.08551162598334235,-3.993660731132574,6.506093922385036e-5,0.6009868405011118,0.8403547140961146
stateChihuahua,0.7360464709136125,0.08186209565212213,-3.7436376381145506,1.8137517402763893e-4,0.6268848650168456,0.8641132741202855
