term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),2.9123472572116036,0.06755959685427447,15.822465251627888,2.1779508908109473e-56,2.5524474479223396,3.3264631952410904
age_group20-29,0.6896309430949279,0.05689912653306177,-6.5308329354770995,6.540492309908239e-11,0.6164397299820827,0.7704995854763915
age_group30-39,0.5265209323733899,0.05595837950952691,-11.463237431579431,2.0182679026280435e-30,0.4714895208085919,0.587154483323326
age_group40-49,0.4416315096089931,0.0566939202910145,-14.415645083077333,4.1256634725894808e-47,0.39490963202863966,0.4932076751448194
age_group50-59,0.3871565808393893,0.058247022570279104,-16.29140897261174,1.135820341375335e-59,0.34515869696628054,0.4337047288016491
age_group60-80,0.36851617981614126,0.05912119175472161,-16.885157951874277,5.78612529318235e-64,0.3279842517170195,0.41353864468963974
age_group>80,0.4071976134780636,0.09936841821706906,-9.041672300857076,1.5429302960037288e-19,0.33516131819608014,0.4948467034294493
education1,1.1694995005091922,0.06124754470370758,2.556443375840116,0.010574828047964184,1.0373217553118201,1.3188312520676115
education2,1.1027877999923186,0.05450754266200304,1.7950054721176425,0.07265282809094806,0.9910552485363658,1.2271484594299304
education3,1.0906885469172176,0.04580669842947004,1.8951200196024698,0.058076502967958285,0.9969567736509954,1.1930650598977335
education4,1.081482187761376,0.055962950753477125,1.3997206237709416,0.1615969954190043,0.9691461500397287,1.206886535516429
education5,1.0597333602001464,0.061235355997606614,0.9474482274913365,0.34341042591035925,0.9399430472498003,1.1949678067008869
education6,1.1112201599395566,0.049197644408582986,2.143571222878043,0.03206725862243224,1.0090305631762848,1.2236690547782392
education7,1.2205693234557589,0.3801191220115835,0.5243551216508855,0.600031564646303,0.5897132499184865,2.660527355125689
education8,1.032346919756334,0.16369528404583278,0.1944758110140346,0.8458033341588106,0.7506699232116438,1.4275969239430824
education9,0.13851157851263327,1.1234126445187467,-1.7596395831263014,0.07846893562191187,0.007042041167039648,0.94953361287743
