year,total_mujeres,violencia_emocional_vivida,violencia_fisica_vivida,violencia_emocional_normalizada,violencia_fisica_normalizada,violencia_emocional_reconocida,pct_emocional_vivida,pct_fisica_vivida,pct_emocional_normalizada,pct_fisica_normalizada,pct_emocional_reconocida
2016,110826,38490,18875,23575,4306,11859,34.7,17,61.2,22.8,30.8
2021,110127,35656,18015,20049,3064,12982,32.4,16.4,56.2,17,36.4
