state,estimate,std.error,statistic,p.value,note
JALISCO,-0.017246180953288177,0.005648585028136143,-3.053186039934479,0.002264255163906257,ok
NUEVO LEON,-0.02548072117596962,0.005585736058845995,-4.561748157723353,5.072947249589066e-6,ok
PUEBLA,-0.027061288498295293,0.005604001350220799,-4.82892255142463,1.3727378198925502e-6,ok
GUANAJUATO,-0.015193227078763739,0.005642629366167149,-2.6925793088345253,0.007090167027092478,ok
VERACRUZ DE IGNACIO DE LA LLAVE,0.023532938301537326,0.0056143713337527155,4.191553586785578,2.770507306062709e-5,ok
