Year,Gap (pp),95% CI low,95% CI high,p-value
2016,14.257701092899605,11.873805057859732,16.641597127939477,9.805485169518672e-32
2021,14.706513225604956,12.282439578320448,17.130586872889463,1.3209480025892547e-32
