year,acceso_digital,n,norm,pct
2016,0,934,500,53.53319057815846
2016,1,5129,2950,57.51608500682394
2016,2,17141,10427,60.83075666530541
2016,3,6580,4248,64.55927051671732
2016,4,8826,5523,62.57647858599592
2021,0,526,230,43.72623574144487
2021,1,2700,1310,48.51851851851852
2021,2,9831,5440,55.33516427626895
2021,3,10232,6038,59.010946051602815
2021,4,12367,7031,56.85291501576777
