NOM_ENT,year,recognised,total,share,lower,upper,pct
AGUASCALIENTES,2016,420,1537,0.27325959661678595,0.25156685838625203,0.29608290401470294,27.325959661678596
AGUASCALIENTES,2021,482,1259,0.38284352660841936,0.35638845434760136,0.41001135939031136,38.28435266084193
BAJA CALIFORNIA,2016,308,935,0.32941176470588235,0.30003747122932684,0.3601820503918155,32.94117647058823
BAJA CALIFORNIA,2021,353,716,0.4930167597765363,0.4565317754842259,0.529576276674394,49.30167597765363
BAJA CALIFORNIA SUR,2016,269,942,0.28556263269639065,0.25763501920738335,0.31523208633933236,28.556263269639064
BAJA CALIFORNIA SUR,2021,315,823,0.3827460510328068,0.3501561119707573,0.4164255005728715,38.27460510328068
CAMPECHE,2016,268,904,0.29646017699115046,0.2676011496144445,0.3270417294648608,29.646017699115045
CAMPECHE,2021,379,1070,0.3542056074766355,0.3261166860116076,0.38333763106920044,35.42056074766355
CHIAPAS,2016,350,1020,0.3431372549019608,0.3146392748534873,0.3728123347261929,34.31372549019608
CHIAPAS,2021,256,712,0.3595505617977528,0.32514320986771306,0.39546531659359585,35.95505617977528
CHIHUAHUA,2016,394,1162,0.33907056798623064,0.31242182364177146,0.3667798403835245,33.90705679862307
CHIHUAHUA,2021,450,1059,0.42492917847025496,0.39548036642975715,0.45492065182142877,42.492917847025495
CIUDAD DE MEXICO,2016,626,1642,0.3812423873325213,0.3580532376643663,0.4049859068961009,38.12423873325213
CIUDAD DE MEXICO,2021,552,1121,0.49241748438893845,0.46322725118595215,0.5216595078620092,49.24174843889384
COAHUILA DE ZARAGOZA,2016,374,1275,0.29333333333333333,0.26899312345326803,0.31891513807120403,29.333333333333332
COAHUILA DE ZARAGOZA,2021,420,1138,0.36906854130052724,0.341516408316449,0.39750165089136996,36.90685413005272
COLIMA,2016,386,1150,0.33565217391304347,0.30894691413263636,0.36345175285031106,33.565217391304344
COLIMA,2021,399,1169,0.3413173652694611,0.3146961344880599,0.3689780763698639,34.13173652694611
DURANGO,2016,379,1212,0.3127062706270627,0.28723282681253676,0.3393632258995022,31.270627062706268
DURANGO,2021,458,1183,0.3871513102282333,0.35980210627958326,0.41523103061023803,38.71513102282333
ESTADO DE MEXICO,2016,591,1646,0.35905224787363305,0.33622990707517597,0.3825309486911309,35.9052247873633
ESTADO DE MEXICO,2021,474,1207,0.39270919635459817,0.36554078582616073,0.4205583784259004,39.27091963545982
GUANAJUATO,2016,367,1100,0.3336363636363636,0.30639378505666015,0.36203686041753524,33.36363636363636
GUANAJUATO,2021,454,1204,0.3770764119601329,0.35013232819645557,0.4048023961927811,37.70764119601329
GUERRERO,2016,340,1166,0.2915951972555746,0.26622608596747305,0.3183330042104968,29.15951972555746
GUERRERO,2021,458,1245,0.3678714859437751,0.3415296682686599,0.39502616299699883,36.78714859437751
HIDALGO,2016,393,1264,0.31091772151898733,0.28600568321168335,0.3369755683679736,31.091772151898734
HIDALGO,2021,496,1317,0.37661351556567957,0.3508393014633634,0.4031054298822331,37.66135155656796
JALISCO,2016,428,1414,0.3026874115983027,0.2793024174129471,0.32714159187415404,30.26874115983027
JALISCO,2021,391,1136,0.34419014084507044,0.3171289916225574,0.3723015013108578,34.41901408450704
MICHOACAN DE OCAMPO,2016,415,1338,0.3101644245142003,0.285952433480949,0.335463348047767,31.01644245142003
MICHOACAN DE OCAMPO,2021,468,1243,0.37650844730490746,0.34999286409953906,0.4037849736294283,37.650844730490746
MORELOS,2016,355,1212,0.2929042904290429,0.2679695931476255,0.3191476281330873,29.290429042904293
MORELOS,2021,410,1108,0.3700361010830325,0.34210196214168187,0.3988683014555442,37.00361010830325
NAYARIT,2016,329,1142,0.28809106830122594,0.2625700488844733,0.3150329464739464,28.809106830122595
NAYARIT,2021,411,1177,0.3491928632115548,0.32248891616202946,0.37687800786641856,34.91928632115548
NUEVO LEON,2016,225,845,0.26627218934911245,0.23757631277305416,0.2970835510974285,26.627218934911244
NUEVO LEON,2021,266,888,0.29954954954954954,0.2703379072433916,0.33048800583902077,29.954954954954953
OAXACA,2016,381,1328,0.2868975903614458,0.26321258548346527,0.31181190692032573,28.68975903614458
OAXACA,2021,402,1238,0.3247172859450727,0.2992096836402792,0.3513093122288513,32.47172859450727
PUEBLA,2016,525,1690,0.3106508875739645,0.289038359755675,0.3331222641520736,31.06508875739645
PUEBLA,2021,434,1266,0.34281200631911535,0.3171768426430925,0.36939820400121554,34.28120063191153
QUERETARO,2016,428,1298,0.32973805855161786,0.304698172120472,0.3557827589443622,32.973805855161785
QUERETARO,2021,462,1307,0.35348125478194337,0.3280281138383463,0.37979315056950347,35.34812547819433
QUINTANA ROO,2016,296,1072,0.27611940298507465,0.2501918023655649,0.30364580440768413,27.611940298507463
QUINTANA ROO,2021,295,937,0.31483457844183566,0.2859033796782128,0.34527783927556266,31.483457844183565
SAN LUIS POTOSI,2016,361,1127,0.3203194321206744,0.2937278166238547,0.34813179434021707,32.03194321206744
SAN LUIS POTOSI,2021,461,1183,0.389687235841082,0.36229690406477255,0.4177916679511202,38.9687235841082
SINALOA,2016,346,1162,0.2977624784853701,0.27217184416035856,0.3246858619676873,29.776247848537007
SINALOA,2021,376,1103,0.34088848594741616,0.3135103871006823,0.36937102540623656,34.08884859474162
SONORA,2016,259,1037,0.24975891996142718,0.22436864106850768,0.276996340503188,24.975891996142717
SONORA,2021,325,1095,0.2968036529680365,0.2704928734896286,0.32453514767951636,29.68036529680365
TABASCO,2016,364,1120,0.325,0.29820813249493056,0.3529882200481174,32.5
TABASCO,2021,406,1168,0.3476027397260274,0.3208323772721366,0.37537226088918296,34.76027397260274
TAMAULIPAS,2016,283,876,0.3230593607305936,0.2929219677144558,0.3547418279703802,32.30593607305936
TAMAULIPAS,2021,318,870,0.36551724137931035,0.3341732058286832,0.3980436652776634,36.55172413793103
TLAXCALA,2016,369,1259,0.2930897537728356,0.2686065055345224,0.3188318095754863,29.30897537728356
TLAXCALA,2021,469,1257,0.3731105807478122,0.3467992470010373,0.4001951131793686,37.31105807478122
VERACRUZ DE IGNACIO DE LA LLAVE,2016,328,1195,0.2744769874476987,0.2499285753381568,0.3004706905245563,27.447698744769873
VERACRUZ DE IGNACIO DE LA LLAVE,2021,424,1193,0.355406538139145,0.3287500509953041,0.38299121811151215,35.5406538139145
YUCATAN,2016,312,1165,0.26781115879828327,0.24317668189802932,0.29397183733242,26.781115879828327
YUCATAN,2021,348,1199,0.2902418682235196,0.2652535040772597,0.3165700219482249,29.02418682235196
ZACATECAS,2016,390,1255,0.3107569721115538,0.2857621521929284,0.3369067735310554,31.07569721115538
ZACATECAS,2021,370,1065,0.3474178403755869,0.31941562745082286,0.3765168260314844,34.74178403755869
