"term","estimate","conf.low","conf.high","p.value"
"Year 2021",1.2637532849907,1.2237844310874,1.30503952416034,3.17814968744773e-46
"Age 20-29",1.24516103797463,1.14434351091557,1.35596598400881,4.06514811969979e-07
"Age 30-39",1.50402235894716,1.38477311585593,1.63496572692446,5.7451160897673e-22
"Age 40-49",1.77439043257667,1.63274342688753,1.9299856746012,3.44004110480929e-41
"Age 50-59",2.03025450239716,1.86551121738422,2.21137796089755,6.77267272748052e-60
"Age 60-79",2.425451755767,2.22865155384036,2.64183989856187,1.04961351001639e-92
"Age >80",2.76207943727688,2.41832173090836,3.15506230621823,1.02486529904639e-50
"Higher education",1.3569885090567,1.03770619828623,1.76508189545496,0.0240721097679295
"Internet access",0.975453288918456,0.944436902145151,1.0074816448304,0.131651430530523
